"Groupe d'aliment","Sous-groupe d'aliment","Changement climatique (kg CO2 eq/kg de produit) - Agriculture","Changement climatique (kg CO2 eq/kg de produit) - Transformation","Changement climatique (kg CO2 eq/kg de produit) - Emballage","Changement climatique (kg CO2 eq/kg de produit) - Transport","Changement climatique (kg CO2 eq/kg de produit) - Supermarché et distribution","Changement climatique (kg CO2 eq/kg de produit) - Consommation","Score unique EF (mPt / kg de produit) - Agriculture","Score unique EF (mPt / kg de produit) - Transformation","Score unique EF (mPt / kg de produit) - Emballage","Score unique EF (mPt / kg de produit) - Transport","Score unique EF (mPt / kg de produit) - Supermarché et distribution","Score unique EF (mPt / kg de produit) - Consommation"
"viandes, œufs, poissons","viandes crues",48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,4.7310881,0.010538729,0.022105737,0.019104515000000002,0.011179692,0.0072555916
"viandes, œufs, poissons","viandes crues",48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,4.7310881,0.010538729,0.022105737,0.019104515000000002,0.011179692,0.0072555916
"viandes, œufs, poissons","viandes cuites",61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
"viandes, œufs, poissons","viandes crues",48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,4.7310881,0.010538729,0.022105737,0.019104515000000002,0.011179692,0.0072555916
"viandes, œufs, poissons","viandes cuites",61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
"viandes, œufs, poissons","viandes crues",39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.0047993021,3.7848704000000004,0.0084309829,0.01768459,0.015283612,0.0089437534,0.0024293397
"viandes, œufs, poissons","viandes cuites",49.389049,0.067809928,0.36438098,0.2530351,0.038287627,0.07865424,4.7839849,0.011060399,0.022340179999999998,0.019475067,0.011298258,0.011170002
"viandes, œufs, poissons","viandes crues",39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.0047993021,3.7848704000000004,0.0084309829,0.01768459,0.015283612,0.0089437534,0.0024293397
"viandes, œufs, poissons","viandes crues",39.080305,0.050376056,0.28844568,0.19900969,0.030308663,0.0047993021,3.7848704000000004,0.0084309829,0.01768459,0.015283612,0.0089437534,0.0024293397
"viandes, œufs, poissons","viandes cuites",49.368463,0.063637899,0.36438098,0.25140036,0.038287627,0.067829831,4.7812636,0.010650496999999998,0.022340179999999998,0.019307128,0.011298258,0.034334514
"viandes, œufs, poissons","viandes cuites",49.368463,0.063637899,0.36438098,0.25140036,0.038287627,0.067829831,4.7812636,0.010650496999999998,0.022340179999999998,0.019307128,0.011298258,0.034334514
"viandes, œufs, poissons","viandes cuites",61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,5.9765795,0.013313121,0.027925225,0.02413391,0.014122822,0.04043131
"viandes, œufs, poissons","viandes crues",48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,4.7310881,0.010538729,0.022105737,0.019104515000000002,0.011179692,0.0072555916
"viandes, œufs, poissons","viandes cuites",61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
"viandes, œufs, poissons","viandes cuites",61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,5.9765795,0.013313121,0.027925225,0.02413391,0.014122822,0.04043131
"viandes, œufs, poissons","viandes crues",48.850381,0.06297007,0.3605571,0.24876212,0.037885829,0.10556394,4.7310881,0.010538729,0.022105737,0.019104515000000002,0.011179692,0.0072555916
"viandes, œufs, poissons","viandes cuites",61.731165,0.083719403,0.45547623,0.31588519,0.047859533,0.20594586,5.9793008,0.013723023,0.027925225,0.024301848,0.014122822,0.017266798
"viandes, œufs, poissons","viandes cuites",61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,5.9765795,0.013313121,0.027925225,0.02413391,0.014122822,0.04043131
"aides culinaires et ingrédients divers","herbes",0.054491408,0,0.49690685,0.19104567,0.078554051,0,0.03375982,0,0.051649676000000005,0.014988846,0.029739628,0
"aides culinaires et ingrédients divers","herbes",0.06811426,0,0,0.17538905,0.031675203,0.099564814,0.042199775,0,0,0.013812163,0.011921128999999999,0.0042189169
"boissons","boisson alcoolisées",0,0.4658128,0.49690685,0.17690961,0.012169911,0.0047993021,0,0.050783404000000004,0.051649676000000005,0.01375452,0.0043498741,0.0024293397
"entrées et plats composés","plats composés",3.2754946,0.300157,0.21221738,0.22403202,0.030685111,0.012726077,0.27073485999999997,0.051436677,0.016118590000000002,0.017225326,0.0089786658,0.0064417627
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses",5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,2.0094117999999996,0.010719962999999999,0.019987624,0.03156415,0.013651188,0
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses",5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,2.0094117999999996,0.010719962999999999,0.019987624,0.03156415,0.013651188,0
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses",5.0476035,0.068974455,0.26940995,0.33796675,0.036493002,0,2.0094117999999996,0.010719962999999999,0.019987624,0.03156415,0.013651188,0
"produits céréaliers","pâtes, riz et céréales",0.44004837,0,0.26940995,0.13232457,0.030159429,0,0.08978768100000001,0,0.019987624,0.010293088,0.011252758,0
"produits céréaliers","farines et pâtes à tarte",0.49322862,0.4169701,0.099788277,0.19255696,0.021623446,0,0.091430541,0.041621917,0.015125934,0.016630105,0.007556395299999999,0
"fruits, légumes, légumineuses et oléagineux","fruits",0.22811155,0.22264675,0.35015645,0.43259022,0.051200154,0.23997673,0.048827011000000003,0.083997303,0.034667415,0.041291583,0.016503721,0.010168672
"fruits, légumes, légumineuses et oléagineux","fruits",0.14234161,0.13893157,0.21849763,0.2699363,0.031948896,0,0.030468055,0.052414316999999995,0.021632467,0.025765948,0.010298321999999999,0
"fruits, légumes, légumineuses et oléagineux","fruits",0.22811155,0.22264675,0.35015645,0.43259022,0.051200154,0.23997673,0.048827011000000003,0.083997303,0.034667415,0.041291583,0.016503721,0.010168672
"fruits, légumes, légumineuses et oléagineux","fruits",0.14234161,0.13893157,0.21849763,0.2699363,0.031948896,0,0.030468055,0.052414316999999995,0.021632467,0.025765948,0.010298321999999999,0
"fruits, légumes, légumineuses et oléagineux","fruits",0.22738276,0,0,0.45643934,0.063897792,0.39825926,0.048671015000000005,0,0,0.043110696000000004,0.020596643,0.016875668
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",0.93748919,0,0.28844568,0.89751426,0.030308663,0.0047993021,0.18615081,0,0.01768459,0.074894167,0.0089437534,0.0024293397
"viandes, œufs, poissons","poissons crus",0.93748919,0,0.28844568,0.89751426,0.030308663,0.0047993021,0.18615081,0,0.01768459,0.074894167,0.0089437534,0.0024293397
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",0.94575132,0.20817419,0.29054328,0.54455085,0.030685111,0.0047993021,0.15281761,0.038360089,0.017842901,0.045261897,0.0089786658,0.0024293397
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",0.90872572,0.20539306,0.29054328,0.53050007,0.030685111,0.0047993021,0.14683167,0.038086841999999996,0.017842901,0.0440442,0.0089786658,0.0024293397
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",0.90872572,0.20539306,0.29054328,0.53050007,0.030685111,0.0047993021,0.14683167,0.038086841999999996,0.017842901,0.0440442,0.0089786658,0.0024293397
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.033694973
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.033694973
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.033694973
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.033694973
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.0047993021,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.0024293397
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.0047993021,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.0024293397
"viandes, œufs, poissons","charcuteries",13.984746,0.99134348,0.77012116,0.21524324,0.030685111,0.066566382,1.6954125,0.27074536,0.063454038,0.016635294,0.0089786658,0.033694973
"aides culinaires et ingrédients divers","herbes",0.32375374,0,0.33443152,0.16406077,0.031675203,0.099564814,0.09117739,0,0.02476141,0.012761644,0.011921128999999999,0.0042189169
"aides culinaires et ingrédients divers","algues",4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,0.66759478,0.5325735899999999,0.022225138,0.019453818999999997,0.010205208,0.00052192787
"boissons","boisson alcoolisées",0.24370999,0.10332162,0.49690685,0.18944429,0.012364537,0.0047993021,0.07728684,0.017051784,0.051649676000000005,0.014858871999999999,0.0044194823,0.0024293397
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses",8.291153,0.13794891,0.53881991,0.32061107,0.064013441,0.40618603,1.1523466,0.021439925999999998,0.039975248,0.025007634,0.023904601,0.020888091
"fruits, légumes, légumineuses et oléagineux","légumes",1.7590306,0.49923726,0.35015645,0.36559225,0.061987426,0.23997673,0.25233735,0.12698481,0.034667415,0.028596295999999997,0.02025581,0.010168672
"fruits, légumes, légumineuses et oléagineux","légumes",1.7590306,0.49923726,0.35015645,0.36559225,0.061987426,0.23997673,0.25233735,0.12698481,0.034667415,0.028596295999999997,0.02025581,0.010168672
"fruits, légumes, légumineuses et oléagineux","légumes",1.5015528,0,0,0.68174641,0.19340077,1.593037,0.21540151,0,0,0.053038515,0.063198128,0.067502671
"fruits, légumes, légumineuses et oléagineux","légumes",1.9982384,0,0.3212752,0.34228159,0.12342441,0.22578242,0.6000795600000001,0,0.024684209000000002,0.026378698,0.036125496,0.020134771
"fruits, légumes, légumineuses et oléagineux","légumes",0.35180613,0.14730051,0.35015645,0.22282157,0.061987426,0.23997673,0.05046747,0.072287042,0.034667415,0.017316226,0.02025581,0.010168672
"fruits, légumes, légumineuses et oléagineux","légumes",1.5015528,0.30042207,0.28581962,0.34663204,0.15223182,0.018159521,0.21540151,0.046691394000000004,0.021558384,0.026851577999999997,0.044489907999999995,0.0091920963
"aides culinaires et ingrédients divers","algues",4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,0.66759478,0.5325735899999999,0.022225138,0.019453818999999997,0.010205208,0.00052192787
"lait et produits laitiers","fromages",5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.0047993021,0.47067906,0.046274272000000005,0.019721226,0.020614588,0.0088270864,0.0024293397
"fruits, légumes, légumineuses et oléagineux","légumes",1.2374336,0.16929655,0.35015645,0.24748768,0.061987426,0.23997673,0.28301381,0.075705652,0.034667415,0.019395864999999998,0.02025581,0.010168672
"fruits, légumes, légumineuses et oléagineux","légumes",1.0563045,0,0,0.18387517,0.048350192,0.099564814,0.24158771,0,0,0.014433051,0.015799532,0.0042189169
"fruits, légumes, légumineuses et oléagineux","légumes",1.2338989,0,0.3212752,0.34388265,0.12342441,0.22578242,0.28220537,0,0.024684209000000002,0.026518499,0.036125496,0.020134771
"fruits, légumes, légumineuses et oléagineux","légumes",1.0563045,0,0,0.18387517,0.048350192,0.099564814,0.24158771,0,0,0.014433051,0.015799532,0.0042189169
"fruits, légumes, légumineuses et oléagineux","légumes",1.0563045,0,0,0.18387517,0.048350192,0.099564814,0.24158771,0,0,0.014433051,0.015799532,0.0042189169
"fruits, légumes, légumineuses et oléagineux","légumes",5.0919415,0,0,0.16952471,0.036575546,0.012317297,0.46597641,0,0,0.013464356,0.011882404,0.00052192787
"fruits, légumes, légumineuses et oléagineux","légumes",5.9480396,0,0.26496924,0.30449494,0.092943356,0.11285752,0.54432011,0,0.020358111,0.023694151,0.027134901,0.014103048
"fruits, légumes, légumineuses et oléagineux","légumes",1.7728241,0,0,0.51466861,0.063897792,0.39825926,0.46109151,0,0,0.047567693,0.020596643,0.016875668
"produits céréaliers","pâtes, riz et céréales",0.79096014,0,0.26940995,0.13232457,0.030159429,0,0.19308866,0,0.019987624,0.010293088,0.011252758,0
"produits céréaliers","gâteaux et pâtisseries",0.15064495,0.26485253,0.30174306,0.12207786,0.029120657,0,0.039451533999999996,0.045316208,0.018688446,0.0095691152,0.0098990521,0
"produits céréaliers","pains et viennoiseries",0.34474157,0.16612981,0.096324645,0.13367458,0.0064852108,0,0.082547982,0.036565199,0.020603469,0.010455544,0.0014414118,0
"produits céréaliers","gâteaux et pâtisseries",3.4954889,0.27368657,0.30175348,0.19980578,0.029120657,0,0.78975988,0.046774575000000006,0.018689458,0.017392225,0.0098990521,0
"fruits, légumes, légumineuses et oléagineux","légumes",1.0563045,0,0,0.1704366,0.048350192,0.099564814,0.24158771,0,0,0.013259629,0.015799532,0.0042189169
"fruits, légumes, légumineuses et oléagineux","légumes",1.2374336,0.16929655,0.35015645,0.23174474,0.061987426,0.23997673,0.28301381,0.075705652,0.034667415,0.018021230000000003,0.02025581,0.010168672
"fruits, légumes, légumineuses et oléagineux","légumes",0.3325408,0,0,0.32670226,0.03993612,0.099564814,0.08275491,0,0,0.030050299,0.012872902,0.0042189169
"fruits, légumes, légumineuses et oléagineux","pommes de terre et autres tubercules",0.47347476,0,0.39159637,0.62251073,0.12294324,0.25277316,0.11782722999999999,0,0.030087124,0.054558890000000006,0.035770297,0.021989891
"fruits, légumes, légumineuses et oléagineux","fruits",0.65574971,0,0,0.53372688,0.07987224,0.59738888,0.16279269,0,0,0.047506555,0.025745804,0.025313501999999998
"fruits, légumes, légumineuses et oléagineux","fruits",2.6295563,0.87251748,0.28581962,1.2534424,0.045995843,0,0.6527987000000001,0.280086,0.021558384,0.12475459000000001,0.01518421,0
"viandes, œufs, poissons","poissons crus",10.618373,0,0.28844568,0.99370943,0.030308663,0.0047993021,1.7701953,0,0.01768459,0.083100879,0.0089437534,0.0024293397
"viandes, œufs, poissons","poissons crus",7.8243041,0,0.28844568,0.99370943,0.030308663,0.0047993021,1.4390893,0,0.01768459,0.083100879,0.0089437534,0.0024293397
"viandes, œufs, poissons","poissons crus",10.618373,0,0.28844568,0.99370943,0.030308663,0.0047993021,1.7701953,0,0.01768459,0.083100879,0.0089437534,0.0024293397
"viandes, œufs, poissons","poissons cuits",12.965649,0,0.25734164,1.2133769,0.037008636,0.067627306,2.1615111000000002,0,0.019501654,0.10147099000000001,0.010920842,0.034231999
"viandes, œufs, poissons","poissons crus",10.618373,0,0.28844568,0.99370943,0.030308663,0.0047993021,1.7701953,0,0.01768459,0.083100879,0.0089437534,0.0024293397
"viandes, œufs, poissons","poissons crus",10.618373,0,0.28844568,0.99370943,0.030308663,0.0047993021,1.7701953,0,0.01768459,0.083100879,0.0089437534,0.0024293397
"produits sucrés","chocolats et produits à base de chocolat",3.8993219,0.49196599,0.10291973,0.21387565,0.014104999,0,0.30402059,0.066253839,0.015600638000000002,0.019086924,0.0045906531,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,0.37729172000000005,0.048249824,0.016468352,0.012288242999999999,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",2.7999527,0.30368711,0.28588365,0.14855968,0.029120657,0,0.37729172000000005,0.048249824,0.021564599,0.011865659,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,0.5198573599999999,0.056234181,0.021566408999999998,0.013172136000000001,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",4.2290255,0.32725415,0.28584739,0.17943088,0.029120657,0,0.77426408,0.051070717,0.021561078999999997,0.015283495999999999,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",2.7999527,0.30368711,0.28588365,0.14855968,0.029120657,0,0.37729172000000005,0.048249824,0.021564599,0.011865659,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,0.5198573599999999,0.056234181,0.021566408999999998,0.013172136000000001,0.0098990521,0
"produits céréaliers","céréales de petit-déjeuner et biscuits",6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,0.5198573599999999,0.056234181,0.021566408999999998,0.013172136000000001,0.0098990521,0
"produits sucrés","chocolats et produits à base de chocolat",3.8993219,0.49196599,0.10291973,0.21387565,0.014104999,0,0.30402059,0.066253839,0.015600638000000002,0.019086924,0.0045906531,0
"produits sucrés","chocolats et produits à base de chocolat",3.8993219,0.49196599,0.10291973,0.21387565,0.014104999,0,0.30402059,0.066253839,0.015600638000000002,0.019086924,0.0045906531,0
"produits sucrés","chocolats et produits à base de chocolat",7.2212137,0.59716633,0.27529035,0.18961177,0.014104999,0,0.5584782500000001,0.076837745,0.020550573,0.016894639,0.0045906531,0
"produits sucrés","chocolats et produits à base de chocolat",6.5204054,0.34705461,0.10299806,0.15585831,0.014104999,0,0.49249644000000004,0.053274486999999995,0.01560824,0.012990092,0.0045906531,0
"glaces et sorbets","glaces",1.606031,0.30544901,0.20599451,0.18585635,0.052754569,0.018159521,0.16885733,0.054594722,0.015491882,0.014267475,0.015937489000000003,0.0091920963
"produits sucrés","chocolats et produits à base de chocolat",7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,0.5584782500000001,0.076837745,0.015605553999999999,0.017300623,0.0045906531,0
"produits sucrés","chocolats et produits à base de chocolat",7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,0.5584782500000001,0.076837745,0.015605553999999999,0.017300623,0.0045906531,0
"produits sucrés","chocolats et produits à base de chocolat",7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,0.5584782500000001,0.076837745,0.015605553999999999,0.017300623,0.0045906531,0
"aides culinaires et ingrédients divers","ingrédients divers",3.116924,0.63107598,0.10860273,0.11899502,0.029120657,0,0.25998533,0.10829098,0.016462137,0.0092640238,0.0098990521,0
"aides culinaires et ingrédients divers","ingrédients divers",0.27818016,0.17177889,0.10860273,0.18582484,0.029120657,0,0.087732798,0.035916618,0.016462137,0.015112857,0.0098990521,0
"aides culinaires et ingrédients divers","herbes",0.32375374,0,0.33443152,0.16406077,0.031675203,0.099564814,0.09117739,0,0.02476141,0.012761644,0.011921128999999999,0.0042189169
"aides culinaires et ingrédients divers","herbes",0.25900299,0,0.49690685,0.17690961,0.078554051,0,0.07294191200000001,0,0.051649676000000005,0.01375452,0.029739628,0
"lait et produits laitiers","fromages",5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.0047993021,0.47067906,0.046274272000000005,0.019721226,0.020614588,0.0088270864,0.0024293397
"produits céréaliers","gâteaux et pâtisseries",0.72739085,0.20337476,0.30181399,0.14996627,0.029120657,0,0.16417384,0.038973288,0.018695331,0.012018828,0.0098990521,0
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",1.5589271,0.33983318,0.29058195,0.37595565,0.030685111,0.066566382,0.24593721999999998,0.051548492999999994,0.017846655,0.029837996000000002,0.0089786658,0.033694973
"entrées et plats composés","plats composés",0.76037199,0.18531285,0.21224074,0.21298475,0.030685111,0.012726077,0.16703208,0.03649359,0.016120857,0.016433269,0.0089786658,0.0064417627
"entrées et plats composés","feuilletées et autres entrées",4.0993753,0.56469733,0.49678526,0.20689034,0.030685111,0.066566382,0.6042039,0.14846684,0.037458057999999995,0.015909756,0.0089786658,0.033694973
"produits céréaliers","gâteaux et pâtisseries",1.9388654,0.2262104,0.30181482,0.13224318,0.029120657,0,0.21243474,0.041754295000000004,0.018695412,0.010361925,0.0098990521,0
"produits céréaliers","gâteaux et pâtisseries",4.9156472,0.5130967,0.30180363,0.20342874,0.029120657,0,0.39557504,0.070219155,0.018694326,0.018172964,0.0098990521,0
"produits céréaliers","gâteaux et pâtisseries",0.77055268,0.19652996,0.30182725,0.13067208,0.029120657,0,0.14607455,0.038600959,0.018696618999999998,0.010276279,0.0098990521,0
"fruits, légumes, légumineuses et oléagineux","légumes",0.15247388,0,0,0.1704366,0.057494804,0.099564814,0.026997399000000002,0,0,0.013259629,0.018980262,0.0042189169
"fruits, légumes, légumineuses et oléagineux","légumes",0.17810901,0,0.3212752,0.32818468,0.14794183,0.22578242,0.031536418999999996,0,0.024684209000000002,0.02514779,0.043492718,0.020134771
"fruits, légumes, légumineuses et oléagineux","légumes",0.072311127,0,0,0.14056627,0.024105619,0.012317297,0.036500002,0,0,0.010935776000000001,0.0075450438,0.00052192787
"fruits, légumes, légumineuses et oléagineux","légumes",0.084468654,0,0.3441999,0.27066778,0.059510508,0.11285752,0.042636676,0,0.025961807,0.020740446000000003,0.017088687999999998,0.014103048
"matières grasses","beurres",14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.055903738,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.056443279,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.055903738,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.056443279,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.056443279,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.055903738,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"matières grasses","beurres",14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.0047993021,1.0542554,0.055903738,0.015478282000000001,0.013733529,0.0096880018,0.0024293397
"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses",2.1314911,0.10490262,0.36922143,0.23760759,0.072986004,0.39825926,0.33995342,0.011103799,0.039909800999999995,0.018633601,0.027302377,0.016875668
"matières grasses","huiles et graisses végétales",25.64208,0.27817047,0.22265825,0.36510735,0.027517713,0,1.5613582,0.03902133,0.021199983000000002,0.035164728,0.010363613,0
"aides culinaires et ingrédients divers","ingrédients divers",0,0.96137784,0.099788277,0.10945482,0.021246282,0,0,0.20048282,0.015125934,0.0084791968,0.0078774815,0
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"boissons","boisson alcoolisées",0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.0047993021,0.0084453762,0.031844848999999995,0.051649676000000005,0.02064847,0.0088128735,0.0024293397
"produits céréaliers","pains et viennoiseries",0.36082874,0.25124368,0.10872893,0.13925777,0.0064852108,0,0.065605599,0.041505825,0.016474386,0.011053115,0.0014414118,0
"produits céréaliers","pains et viennoiseries",0.36082874,0.25124368,0.10872893,0.13925777,0.0064852108,0,0.065605599,0.041505825,0.016474386,0.011053115,0.0014414118,0
"produits céréaliers","pains et viennoiseries",0.36082874,0.25124368,0.10872893,0.13925777,0.0064852108,0,0.065605599,0.041505825,0.016474386,0.011053115,0.0014414118,0
"produits céréaliers","pains et viennoiseries",0.36082874,0.25124368,0.10872893,0.13925777,0.0064852108,0,0.065605599,0.041505825,0.016474386,0.011053115,0.0014414118,0
"produits céréaliers","pains et viennoiseries",0.36082874,0.25124368,0.10872893,0.13925777,0.0064852108,0,0.065605599,0.041505825,0.016474386,0.011053115,0.0014414118,0
